name,smiles
rmol_17,CCC[n+]1c(CC)c(CC)n(-c2c(OC)cc(OC)cc2OC)c1-c1c(OC)cccc1OC
rmol_17_2a,CCCN1C(CC)=C(CC)N(c2c(OC)cc(OC)cc2OC)C1(O)c1c(OC)cccc1OC
rmol_18,CCCn1c(C)c(C)[n+](CCC)c1-c1c(OC)cc(OC)cc1OC
rmol_18_2a,CCCN1C(C)=C(C)N(CCC)C1(O)c1c(OC)cc(OC)cc1OC
rmol_19,COc1cccc(OC)c1-c1n(-c2ccccc2)c(C)c(C)[n+]1-c1ccccc1
rmol_19_2a,COc1cccc(OC)c1C1(O)N(c2ccccc2)C(C)=C(C)N1c1ccccc1
rmol_20,CCc1c(CC)[n+](Cc2ccccc2)c(-c2c(OC)cc(OC)cc2OC)n1Cc1ccccc1
rmol_20_2a,CCC1=C(CC)N(Cc2ccccc2)C(O)(c2c(OC)cc(OC)cc2OC)N1Cc1ccccc1
rmol_21,Cc1n(C)c2ccccc2[n+]1C
rmol_21_2a,CN1c2ccccc2N(C)C1(C)O
rmol_22,Cc1ccc2c(c1)n(C)c(C)[n+]2C
rmol_22_2a,Cc1ccc2c(c1)N(C)C(C)(O)N2C
rmol_23,Cc1cc2c(cc1C)[n+](C)c(C)n2C
rmol_23_2a,Cc1cc2c(cc1C)N(C)C(C)(O)N2C
rmol_24,CCCc1cc2c(cc1CCC)[n+](C)c(CCC)n2C
rmol_24_2a,CCCc1cc2c(cc1CCC)N(C)C(O)(CCC)N2C
rmol_25,Cn1c(C(C)(C)C)[n+](C)c2cc(C(C)(C)C)c(C(C)(C)C)cc21
rmol_25_2a,CN1c2cc(C(C)(C)C)c(C(C)(C)C)cc2N(C)C1(O)C(C)(C)C
rmol_26,CCn1c(C)[n+](CC)c2ccc(C)cc21
rmol_26_2a,CCN1c2ccc(C)cc2N(CC)C1(C)O
rmol_27,CCc1cc2c(cc1CC)[n+](C)c(C)n2C
rmol_27_2a,CCc1cc2c(cc1CC)N(C)C(C)(O)N2C
rmol_28,CCCc1cc2c(cc1CCC)[n+](CCC)c(CCC)n2CCC
rmol_28_2a,CCCc1cc2c(cc1CCC)N(CCC)C(O)(CCC)N2CCC
rmol_29,CC(C)(C)c1cc2c(cc1C(C)(C)C)[n+](C(C)(C)C)c(C(C)(C)C)n2C(C)(C)C
rmol_29_2a,CC(C)(C)c1cc2c(cc1C(C)(C)C)N(C(C)(C)C)C(O)(C(C)(C)C)N2C(C)(C)C
rmol_30,Cn1c(C(C)(C)C)[n+](C(C)(C)C)c2cc(C(C)(C)C)c(C(C)(C)C)cc21
rmol_30_2a,CN1c2cc(C(C)(C)C)c(C(C)(C)C)cc2N(C(C)(C)C)C1(O)C(C)(C)C
rmol_31,Cc1cccc(C)c1-c1n(C)c2cc(-c3ccccc3)c(-c3ccccc3)cc2[n+]1C
rmol_31_2a,Cc1cccc(C)c1C1(O)N(C)c2cc(-c3ccccc3)c(-c3ccccc3)cc2N1C
rmol_32,Cn1c(Cc2ccccc2)[n+](C)c2cc(Cc3ccccc3)c(Cc3ccccc3)cc21
rmol_32_2a,CN1c2cc(Cc3ccccc3)c(Cc3ccccc3)cc2N(C)C1(O)Cc1ccccc1
rmol_33,Cc1cccc(C)c1-c1n(-c2ccccc2)c2cc(-c3ccccc3)c(-c3ccccc3)cc2[n+]1-c1ccccc1
rmol_33_2a,Cc1cccc(C)c1C1(O)N(c2ccccc2)c2cc(-c3ccccc3)c(-c3ccccc3)cc2N1c1ccccc1
rmol_34,Cc1cccc(C)c1Cc1n(Cc2ccccc2)c2cc(Cc3ccccc3)c(Cc3ccccc3)cc2[n+]1Cc1ccccc1
rmol_34_2a,Cc1cccc(C)c1CC1(O)N(Cc2ccccc2)c2cc(Cc3ccccc3)c(Cc3ccccc3)cc2N1Cc1ccccc1
rmol_35,C[n+]1c(Cc2ccccc2)n(-c2ccccc2)c2cc(Cc3ccccc3)c(Cc3ccccc3)cc21
rmol_35_2a,CN1c2cc(Cc3ccccc3)c(Cc3ccccc3)cc2N(c2ccccc2)C1(O)Cc1ccccc1
rmol_36,C[n+]1c(-c2ccccc2)n(Cc2ccccc2)c2cc(-c3ccccc3)c(-c3ccccc3)cc21
rmol_36_2a,CN1c2cc(-c3ccccc3)c(-c3ccccc3)cc2N(Cc2ccccc2)C1(O)c1ccccc1
rmol_37,CCC[n+]1c(-c2c(OC)cccc2OC)n(-c2c(OC)cc(OC)cc2OC)c2cc(CC)c(CC)cc21
