DTXSID,PREFERREDNAME,CASRN,INCHIKEY,IUPACNAME,SMILES,INCHISTRING,MOLECULARFORMULA,AVERAGEMASS,MONOISOTOPICMASS,#ofSOURCES,#OFPUBMEDARTICLES,PUBCHEMDATASOURCES,CPDATCOUNT,QCLevel,#ToxCastActive,%ToxCastActive,TotalAssays,C,H,O,N,F,Cl,P,Br,I,S,V,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID3020833,Methyl tert-butyl ether,1634-04-4,BZLVMXJERCGZMT-UHFFFAOYSA-N,2-Methoxy-2-methylpropane,COC(C)(C)C,"InChI=1S/C5H12O/c1-5(2,3)6-4/h1-4H3",C5H12O,88.15,88.088815,299,984,425,693,1,5/235,2.0,235,5,12,1,,,,,,,,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID7021607,Hexanoic acid,142-62-1,FUZZWVXGSFPDMH-UHFFFAOYSA-N,Hexanoic acid,CCCCCC(O)=O,"InChI=1S/C6H12O2/c1-2-3-4-5-6(7)8/h2-5H2,1H3,(H,7,8)",C6H12O2,116.16,116.083730,255,185,220,2,1,31/869,4.0,869,6,12,2,,,,,,,,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID9026841,Dihexyl hexanedioate,110-33-8,HHECSPXBQJHZAF-UHFFFAOYSA-N,Dihexyl hexanedioate,CCCCCCOC(=O)CCCCC(=O)OCCCCCC,"InChI=1S/C18H34O4/c1-3-5-7-11-15-21-17(19)13-9-10-14-18(20)22-16-12-8-6-4-2/h3-16H2,1-2H3",C18H34O4,314.466,314.245710,118,,57,1,1,9/646,1.0,646,18,34,4,,,,,,,,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0063521,"Nonane, 1,9-dibromo-",4549-33-1,WGAXVZXBFBHLMC-UHFFFAOYSA-N,"1,9-Dibromononane",BrCCCCCCCCCBr,InChI=1S/C9H18Br2/c10-8-6-4-2-1-3-5-7-9-11/h1-9H2,C9H18Br2,286.051,283.977527,35,,97,,, ,,,9,18,,,,,,2,,,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID4044828,Ethyl undec-10-enoate,692-86-4,FXNFFCMITPHEIT-UHFFFAOYSA-N,Ethyl undec-10-enoate,CCOC(=O)CCCCCCCCC=C,"InChI=1S/C13H24O2/c1-3-5-6-7-8-9-10-11-12-13(14)15-4-2/h3H,1,4-12H2,2H3",C13H24O2,212.333,212.177630,126,,68,12,1,9/427,2.0,427,13,24,2,,,,,,,,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID4061595,Methylenecyclohexane,1192-37-6,YULMNMJFAZWLLN-UHFFFAOYSA-N,Methylidenecyclohexane,C=C1CCCCC1,InChI=1S/C7H12/c1-7-5-3-2-4-6-7/h1-6H2,C7H12,96.173,96.093900,56,,171,,1, ,,,7,12,,,,,,,,,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1026904,2-Butoxyethyl acetate,112-07-2,NQBXSWAWVZHKBZ-UHFFFAOYSA-N,2-Butoxyethyl acetate,CCCCOCCOC(C)=O,"InChI=1S/C8H16O3/c1-3-4-5-10-6-7-11-8(2)9/h3-7H2,1-2H3",C8H16O3,160.213,160.109944,217,,91,658,1,9/430,2.0,430,8,16,3,,,,,,,,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID80871417,"2,3,3,5-Tetramethylhexane",52897-11-7,GCGFXFIPOBRMQT-UHFFFAOYSA-N,"2,3,3,5-Tetramethylhexane",CC(C)CC(C)(C)C(C)C,"InChI=1S/C10H22/c1-8(2)7-10(5,6)9(3)4/h8-9H,7H2,1-6H3",C10H22,142.286,142.172151,7,,16,,2, ,,,10,22,,,,,,,,,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID5059240,"Pyridine, 2-(phenylmethyl)-",101-82-6,PCFUWBOSXMKGIP-UHFFFAOYSA-N,2-Benzylpyridine,C(C1=CC=CC=C1)C1=CC=CC=N1,"InChI=1S/C12H11N/c1-2-6-11(7-3-1)10-12-8-4-5-9-13-12/h1-9H,10H2",C12H11N,169.227,169.089149,64,5,106,,, ,,,12,11,,1,,,,,,,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID8073217,2-Methyl-2-pentene,625-27-4,JMMZCWZIJXAGKW-UHFFFAOYSA-N,2-Methylpent-2-ene,CCC=C(C)C,"InChI=1S/C6H12/c1-4-5-6(2)3/h5H,4H2,1-3H3",C6H12,84.162,84.093900,56,,77,,, ,,,6,12,,,,,,,,,,
