DTXSID,PREFERREDNAME,CASRN,INCHIKEY,IUPACNAME,SMILES,INCHISTRING,MOLECULARFORMULA,AVERAGEMASS,MONOISOTOPICMASS,#ofSOURCES,#OFPUBMEDARTICLES,PUBCHEMDATASOURCES,CPDATCOUNT,QCLevel,#ToxCastActive,%ToxCastActive,TotalAssays,C,H,O,N,F,Cl,P,Br,I,S,V,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID8061925,Dimethyl heptanedioate,1732-08-7,SHWINQXIGSEZAP-UHFFFAOYSA-N,Dimethyl heptanedioate,COC(=O)CCCCCC(=O)OC,"InChI=1S/C9H16O4/c1-12-8(10)6-4-3-5-7-9(11)13-2/h3-7H2,1-2H3",C9H16O4,188.223,188.104859,49,,81,,1, ,,,9,16,4,,,,,,,,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID2066438,2-(2-(2-Methylpropoxy)ethoxy)ethanol,18912-80-6,YJTIFIMHZHDNQZ-UHFFFAOYSA-N,2-[2-(2-Methylpropoxy)ethoxy]ethan-1-ol,CC(C)COCCOCCO,"InChI=1S/C8H18O3/c1-8(2)7-11-6-5-10-4-3-9/h8-9H,3-7H2,1-2H3",C8H18O3,162.229,162.125594,36,,33,,1, ,,,8,18,3,,,,,,,,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID7049215,"5-Methyl-2,3-hexanedione",13706-86-0,PQCLJXVUAWLNSV-UHFFFAOYSA-N,"5-Methylhexane-2,3-dione",CC(C)CC(=O)C(C)=O,"InChI=1S/C7H12O2/c1-5(2)4-7(9)6(3)8/h5H,4H2,1-3H3",C7H12O2,128.171,128.083730,91,,64,,1,8/235,3.0,235,7,12,2,,,,,,,,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID10194424,4'-Methylbutyrophenone,4160-52-5,CIYAESDXUTVTAL-UHFFFAOYSA-N,1-(4-Methylphenyl)butan-1-one,CCCC(=O)C1=CC=C(C)C=C1,"InChI=1S/C11H14O/c1-3-4-11(12)10-7-5-9(2)6-8-10/h5-8H,3-4H2,1-2H3",C11H14O,162.232,162.104465,28,,71,,, ,,,11,14,1,,,,,,,,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID90423860,non-1-en-4-one,61168-10-3,WDBHYTAEQAWRCQ-UHFFFAOYSA-N,Non-1-en-4-one,CCCCCC(=O)CC=C,"InChI=1S/C9H16O/c1-3-5-6-8-9(10)7-4-2/h4H,2-3,5-8H2,1H3",C9H16O,140.226,140.120115,7,,20,,, ,,,9,16,1,,,,,,,,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID50982387,3-Ethoxypropyl prop-2-enoate,64050-15-3,UACBZRBYLSMNGV-UHFFFAOYSA-N,3-Ethoxypropyl prop-2-enoate,CCOCCCOC(=O)C=C,"InChI=1S/C8H14O3/c1-3-8(9)11-7-5-6-10-4-2/h3H,1,4-7H2,2H3",C8H14O3,158.197,158.094294,9,,18,,5, ,,,8,14,3,,,,,,,,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID6069535,"Heptadecane, 1-chloro-",62016-75-5,FGIOHOBVUCNHBY-UHFFFAOYSA-N,1-Chloroheptadecane,CCCCCCCCCCCCCCCCCCl,"InChI=1S/C17H35Cl/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18/h2-17H2,1H3",C17H35Cl,274.92,274.242729,17,,18,,, ,,,17,35,,,,1,,,,,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID4039497,3-Methylbenzyl alcohol,587-03-1,JJCKHVUTVOPLBV-UHFFFAOYSA-N,(3-Methylphenyl)methanol,CC1=CC=CC(CO)=C1,"InChI=1S/C8H10O/c1-7-3-2-4-8(5-7)6-9/h2-5,9H,6H2,1H3",C8H10O,122.167,122.073165,53,6,96,,1, ,,,8,10,1,,,,,,,,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID501031522,2-Methyl-propanedioic acid dibutyl ester,52886-83-6,PYKIHPRFFNLVMF-UHFFFAOYSA-N,,CCCCOC(=O)C(C)C(=O)OCCCC,"InChI=1S/C12H22O4/c1-4-6-8-15-11(13)10(3)12(14)16-9-7-5-2/h10H,4-9H2,1-3H3",C12H22O4,230.304,230.151809,2,,,,2, ,,,12,22,4,,,,,,,,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID10187275,"Furan, tetrahydro-2,2,4,4-tetramethyl-",3358-28-9,FIDGQQIVMWAIAD-UHFFFAOYSA-N,"2,2,4,4-Tetramethyloxolane",CC1(C)COC(C)(C)C1,"InChI=1S/C8H16O/c1-7(2)5-8(3,4)9-6-7/h5-6H2,1-4H3",C8H16O,128.215,128.120115,11,,29,,4, ,,,8,16,1,,,,,,,,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID80973682,3-Oxoandrost-5-en-17-yl benzoate,581-12-4,OHAHNLVPTSLFSI-IXKNJLPQSA-N,(17S)-3-Oxoandrost-5-en-17-yl benzoate,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4CC(=O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)OC(=O)C1=CC=CC=C1,"InChI=1S/C26H32O3/c1-25-14-12-19(27)16-18(25)8-9-20-21-10-11-23(26(21,2)15-13-22(20)25)29-24(28)17-6-4-3-5-7-17/h3-8,20-23H,9-16H2,1-2H3/t20-,21-,22-,23-,25-,26-/m0/s1",C26H32O3,392.539,392.235145,9,,8,,5, ,,,26,32,3,,,,,,,,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID6066656,"Pyridine, 4-ethyl-3-methyl-",20815-29-6,NJQZTGGQYUUYKS-UHFFFAOYSA-N,4-Ethyl-3-methylpyridine,CCC1=CC=NC=C1C,"InChI=1S/C8H11N/c1-3-8-4-5-9-6-7(8)2/h4-6H,3H2,1-2H3",C8H11N,121.183,121.089149,21,,39,,, ,,,8,11,,1,,,,,,,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID7075056,"Benzene, 1-(1,1-dimethylethyl)-2-methyl-",1074-92-6,AXHVNJGQOJFMHT-UHFFFAOYSA-N,1-tert-Butyl-2-methylbenzene,CC1=C(C=CC=C1)C(C)(C)C,"InChI=1S/C11H16/c1-9-7-5-6-8-10(9)11(2,3)4/h5-8H,1-4H3",C11H16,148.249,148.125201,18,,79,,3, ,,,11,16,,,,,,,,,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID90185491,"Benzene, ((2-methoxyethoxy)methyl)-",31600-56-3,XBSQOKFFZZKPFM-UHFFFAOYSA-N,[(2-Methoxyethoxy)methyl]benzene,COCCOCC1=CC=CC=C1,"InChI=1S/C10H14O2/c1-11-7-8-12-9-10-5-3-2-4-6-10/h2-6H,7-9H2,1H3",C10H14O2,166.22,166.099380,23,,32,,, ,,,10,14,2,,,,,,,,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID3025330,2-Fluorobenzoyl chloride,393-52-2,RAAGZOYMEQDCTD-UHFFFAOYSA-N,2-Fluorobenzoyl chloride,FC1=CC=CC=C1C(Cl)=O,InChI=1S/C7H4ClFO/c8-7(10)5-3-1-2-4-6(5)9/h1-4H,C7H4ClFO,158.56,157.993471,99,,123,,1,4/235,2.0,235,7,4,1,,1,1,,,,,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID7023938,"1,2-Benzenedicarboxylic acid, 2-butoxy-2-oxoethyl butyl ester",85-70-1,GOJCZVPJCKEBQV-UHFFFAOYSA-N,"2-Butoxy-2-oxoethyl butyl benzene-1,2-dicarboxylate",CCCCOC(=O)COC(=O)C1=CC=CC=C1C(=O)OCCCC,"InChI=1S/C18H24O6/c1-3-5-11-22-16(19)13-24-18(21)15-10-8-7-9-14(15)17(20)23-12-6-4-2/h7-10H,3-6,11-13H2,1-2H3",C18H24O6,336.384,336.157288,131,11,52,1,1,21/637,3.0,637,18,24,6,,,,,,,,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID00970310,"1,4-Dimethyl-5-octyldecahydronaphthalene",54964-83-9,MOLLEMOFURMEID-UHFFFAOYSA-N,"1,4-Dimethyl-5-octyldecahydronaphthalene",CCCCCCCCC1CCCC2C(C)CCC(C)C12,"InChI=1S/C20H38/c1-4-5-6-7-8-9-11-18-12-10-13-19-16(2)14-15-17(3)20(18)19/h16-20H,4-15H2,1-3H3",C20H38,278.524,278.297351,5,,16,,5, ,,,20,38,,,,,,,,,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID10144904,"Propionitrile, 3-(2-ethylbutoxy)-",10232-91-4,HHTFLOIAOFXJDD-UHFFFAOYSA-N,3-(2-Ethylbutoxy)propanenitrile,CCC(CC)COCCC#N,"InChI=1S/C9H17NO/c1-3-9(4-2)8-11-7-5-6-10/h9H,3-5,7-8H2,1-2H3",C9H17NO,155.241,155.131014,19,,17,,, ,,,9,17,1,1,,,,,,,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID00341420,"2,4-DIMETHYL-2,4-HEPTADIENE",74421-05-9,FFLHUMMPCUSQSJ-UHFFFAOYSA-N,"2,4-Dimethylhepta-2,4-diene",CCC=C(C)C=C(C)C,"InChI=1S/C9H16/c1-5-6-9(4)7-8(2)3/h6-7H,5H2,1-4H3",C9H16,124.227,124.125201,11,,10,,5, ,,,9,16,,,,,,,,,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID60210704,2-Ethylbutyronitrile,617-80-1,QARLTYSAFQGMMB-UHFFFAOYSA-N,2-Ethylbutanenitrile,CCC(CC)C#N,"InChI=1S/C6H11N/c1-3-6(4-2)5-7/h6H,3-4H2,1-2H3",C6H11N,97.161,97.089149,18,,51,,, ,,,6,11,,1,,,,,,,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID2052603,"2,4-Dichlorobenzoyl chloride",89-75-8,CEOCVKWBUWKBKA-UHFFFAOYSA-N,"2,4-Dichlorobenzoyl chloride",ClC(=O)C1=C(Cl)C=C(Cl)C=C1,InChI=1S/C7H3Cl3O/c8-4-1-2-5(7(10)11)6(9)3-4/h1-3H,C7H3Cl3O,209.45,207.924948,76,,91,,1,30/280,11.0,280,7,3,1,,,3,,,,,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID3021938,1-Bromooctane,111-83-1,VMKOFRJSULQZRM-UHFFFAOYSA-N,1-Bromooctane,CCCCCCCCBr,"InChI=1S/C8H17Br/c1-2-3-4-5-6-7-8-9/h2-8H2,1H3",C8H17Br,193.128,192.051364,130,,122,,1,1/398,0.0,398,8,17,,,,,,1,,,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1025433,3-Hydroxypropanenitrile,109-78-4,WSGYTJNNHPZFKR-UHFFFAOYSA-N,3-Hydroxypropanenitrile,OCCC#N,"InChI=1S/C3H5NO/c4-2-1-3-5/h5H,1,3H2",C3H5NO,71.079,71.037114,155,4,135,3,1,4/283,1.0,283,3,5,1,1,,,,,,,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID20957926,"2,2,4-Trimethylpentyl 2-methylpropanoate",36679-74-0,BEOXQMJRQFNOGX-UHFFFAOYSA-N,"2,2,4-Trimethylpentyl 2-methylpropanoate",CC(C)CC(C)(C)COC(=O)C(C)C,"InChI=1S/C12H24O2/c1-9(2)7-12(5,6)8-14-11(13)10(3)4/h9-10H,7-8H2,1-6H3",C12H24O2,200.322,200.177630,9,,17,,5, ,,,12,24,2,,,,,,,,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID3025671,Methyl vinyl ketone,78-94-4,FUSUHKVFWTUUBE-UHFFFAOYSA-N,But-3-en-2-one,CC(=O)C=C,"InChI=1S/C4H6O/c1-3-4(2)5/h3H,1H2,2H3",C4H6O,70.091,70.041865,161,65,119,1,1,0/235,0.0,235,4,6,1,,,,,,,,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID6021905,Allyl cyanide,109-75-1,SJNALLRHIVGIBI-UHFFFAOYSA-N,But-3-enenitrile,C=CCC#N,"InChI=1S/C4H5N/c1-2-3-4-5/h2H,1,3H2",C4H5N,67.091,67.042199,95,42,94,1,1, ,,,4,5,,1,,,,,,,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID4051536,Hex-1-yn-3-ol,105-31-7,LTFTWJYRQNTCHI-UHFFFAOYSA-N,Hex-1-yn-3-ol,CCCC(O)C#C,"InChI=1/C6H10O/c1-3-5-6(7)4-2/h2,6-7H,3,5H2,1H3",C6H10O,98.145,98.073165,86,,70,5,1,6/285,2.0,285,6,10,1,,,,,,,,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID8052019,Perfluoroheptane,335-57-9,LGUZHRODIJCVOC-UHFFFAOYSA-N,Hexadecafluoroheptane,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"InChI=1S/C7F16/c8-1(9,2(10,11)4(14,15)6(18,19)20)3(12,13)5(16,17)7(21,22)23",C7F16,388.051,387.974451,106,3,67,,1, ,,,7,,,,16,,,,,,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID6025012,"2,3-Dichloro-1-propene",78-88-6,FALCMQXTWHPRIH-UHFFFAOYSA-N,"2,3-Dichloroprop-1-ene",ClCC(Cl)=C,InChI=1S/C3H4Cl2/c1-3(5)2-4/h1-2H2,C3H4Cl2,110.97,109.969005,155,9,97,1,1,6/401,1.0,401,3,4,,,,2,,,,,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID10181258,"N,N-Diethylacrylamide",2675-94-7,OVHHHVAVHBHXAK-UHFFFAOYSA-N,"N,N-Diethylprop-2-enamide",CCN(CC)C(=O)C=C,"InChI=1S/C7H13NO/c1-4-7(9)8(5-2)6-3/h4H,1,5-6H2,2-3H3",C7H13NO,127.187,127.099714,32,,67,,, ,,,7,13,1,1,,,,,,,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID90211542,"Ethane, 1-chloro-2-nitro-",625-47-8,XMZRJPITAOAPLJ-UHFFFAOYSA-N,1-Chloro-2-nitroethane,[O-][N+](=O)CCCl,InChI=1S/C2H4ClNO2/c3-1-2-4(5)6/h1-2H2,C2H4ClNO2,109.51,108.993056,11,,23,,4, ,,,2,4,2,1,,1,,,,,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID2025763,2-(2-Nitrophenyl)ethanol,15121-84-3,SLRIOXRBAPBGEI-UHFFFAOYSA-N,2-(2-Nitrophenyl)ethan-1-ol,OCCC1=C(C=CC=C1)[N+]([O-])=O,"InChI=1S/C8H9NO3/c10-6-5-7-3-1-2-4-8(7)9(11)12/h1-4,10H,5-6H2",C8H9NO3,167.164,167.058243,76,,115,,1,1/235,0.0,235,8,9,3,1,,,,,,,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID30865482,"1,2,2,3-Tetrachlorotetrafluoropropane",677-68-9,LVULLLDMOZXHRF-UHFFFAOYSA-N,"1,2,2,3-Tetrachloro-1,1,3,3-tetrafluoropropane",FC(F)(Cl)C(Cl)(Cl)C(F)(F)Cl,"InChI=1S/C3Cl4F4/c4-1(5,2(6,8)9)3(7,10)11",C3Cl4F4,253.83,251.869023,23,,29,,1, ,,,3,,,,4,4,,,,,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID9023702,"N1,N2-Bis(2-aminoethyl)-1,2-ethanediamine",112-24-3,VILCJCGEZXAXTO-UHFFFAOYSA-N,"N~1~,N~1'~-(Ethane-1,2-diyl)di(ethane-1,2-diamine)",NCCNCCNCCN,"InChI=1S/C6H18N4/c7-1-3-9-5-6-10-4-2-8/h9-10H,1-8H2",C6H18N4,146.238,146.153147,205,351,125,720,1,7/235,3.0,235,6,18,,4,,,,,,,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID50219524,4-Fluoropyridine,694-52-0,TTYVECQWCUJXCS-UHFFFAOYSA-N,4-Fluoropyridine,FC1=CC=NC=C1,InChI=1S/C5H4FN/c6-5-1-3-7-4-2-5/h1-4H,C5H4FN,97.092,97.032777,10,,78,,4, ,,,5,4,,1,1,,,,,,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID40871413,"3-Ethyl-3,4-dimethylhexane",52897-06-0,ZGJCTUKRTSBTIQ-UHFFFAOYSA-N,"3-Ethyl-3,4-dimethylhexane",CCC(C)C(C)(CC)CC,"InChI=1/C10H22/c1-6-9(4)10(5,7-2)8-3/h9H,6-8H2,1-5H3",C10H22,142.286,142.172151,7,,16,,2, ,,,10,22,,,,,,,,,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID5027277,"1,3-Benzenedicarboxylic acid, diethyl ester",636-53-3,JLVWYWVLMFVCDI-UHFFFAOYSA-N,"Diethyl benzene-1,3-dicarboxylate",CCOC(=O)C1=CC(=CC=C1)C(=O)OCC,"InChI=1S/C12H14O4/c1-3-15-11(13)9-6-5-7-10(8-9)12(14)16-4-2/h5-8H,3-4H2,1-2H3",C12H14O4,222.24,222.089209,56,,80,,1, ,,,12,14,4,,,,,,,,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID10860874,3-​Heptene,592-78-9,WZHKDGJSXCTSCK-UHFFFAOYSA-N,Hept-3-ene,CCCC=CCC,"InChI=1S/C7H14/c1-3-5-7-6-4-2/h5,7H,3-4,6H2,1-2H3",C7H14,98.189,98.109550,22,,39,,1, ,,,7,14,,,,,,,,,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID2022094,"1,5-Dichloropentane",628-76-2,LBKDGROORAKTLC-UHFFFAOYSA-N,"1,5-Dichloropentane",ClCCCCCCl,InChI=1S/C5H10Cl2/c6-4-2-1-3-5-7/h1-5H2,C5H10Cl2,141.04,140.015956,71,,83,1,1, ,,,5,10,,,,2,,,,,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0074974,"Phenol, 4-chloro-2-methoxy-",16766-30-6,FVZQMMMRFNURSH-UHFFFAOYSA-N,4-Chloro-2-methoxyphenol,COC1=C(O)C=CC(Cl)=C1,"InChI=1S/C7H7ClO2/c1-10-7-4-5(8)2-3-6(7)9/h2-4,9H,1H3",C7H7ClO2,158.58,158.013457,39,,96,,3, ,,,7,7,2,,,1,,,,,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID90910285,"2,6-Dimethyloxan-4-one",1073-79-6,FZXBJPDVINOGBR-UHFFFAOYSA-N,"2,6-Dimethyloxan-4-one",CC1CC(=O)CC(C)O1,"InChI=1/C7H12O2/c1-5-3-7(8)4-6(2)9-5/h5-6H,3-4H2,1-2H3",C7H12O2,128.171,128.083730,13,,70,,, ,,,7,12,2,,,,,,,,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021755,3-Methyl-3-pentanol,77-74-7,FRDAATYAJDYRNW-UHFFFAOYSA-N,3-Methylpentan-3-ol,CCC(C)(O)CC,"InChI=1S/C6H14O/c1-4-6(3,7)5-2/h7H,4-5H2,1-3H3",C6H14O,102.177,102.104465,98,,96,1,1, ,,,6,14,1,,,,,,,,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID5060803,"Acetamide, N-ethyl-",625-50-3,PMDCZENCAXMSOU-UHFFFAOYSA-N,N-Ethylacetamide,CCNC(C)=O,"InChI=1S/C4H9NO/c1-3-5-4(2)6/h3H2,1-2H3,(H,5,6)",C4H9NO,87.122,87.068414,59,6,101,,, ,,,4,9,1,1,,,,,,,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID30199259,1-(Butylamino)cyclohexylphosphonic acid dibutyl ester,51249-05-9,NMBXMBCZBXUXAM-UHFFFAOYSA-N,Dibutyl [1-(butylamino)cyclohexyl]phosphonate,CCCCNC1(CCCCC1)P(=O)(OCCCC)OCCCC,"InChI=1S/C18H38NO3P/c1-4-7-15-19-18(13-11-10-12-14-18)23(20,21-16-8-5-2)22-17-9-6-3/h19H,4-17H2,1-3H3",C18H38NO3P,347.48,347.258931,48,4,31,,1, ,,,18,38,3,1,,,1,,,,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID2063551,3-Propylpyridine,4673-31-8,MLAXEZHEGARMPE-UHFFFAOYSA-N,3-Propylpyridine,CCCC1=CN=CC=C1,"InChI=1S/C8H11N/c1-2-4-8-5-3-6-9-7-8/h3,5-7H,2,4H2,1H3",C8H11N,121.183,121.089149,36,,59,,, ,,,8,11,,1,,,,,,,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID40333960,"2,7-Dimethyl-2,6-octadiene",16736-42-8,PSOPUECGKNQIPH-UHFFFAOYSA-N,"2,7-Dimethylocta-2,6-diene",CC(C)=CCCC=C(C)C,"InChI=1S/C10H18/c1-9(2)7-5-6-8-10(3)4/h7-8H,5-6H2,1-4H3",C10H18,138.254,138.140851,17,,35,,5, ,,,10,18,,,,,,,,,,
