Molecule,SinglePointEnergy[a.u.],nAtoms,DipoleMoment[Debye],MolecularWeight[g/mol],HOMO-1[kcal/mol],HOMO[kcal/mol],LUMO[kcal/mol],LUMO+1[kcal/mol],CoreStructure,N-1_subst,C-2_subst,N-3_subst,C-4_subst,C-5_subst,N-1_Avalue[kcal/mol],C-2_Avalue[kcal/mol],N-3_Avalue[kcal/mol],C-4_Avalue[kcal/mol],C-5_Avalue[kcal/mol],LUMO_N-1[%],LUMO_C-2[%],LUMO_N-3[%]
mol_1398,-1356.514439313530,81,7.95162,459.7289800000006,-149.564260114,-147.29142251599998,-21.888141429,-12.530727221000001,I_imid,t-Butyl,Propyl,t-Butyl,TMP,TMP,4.972259776,1.649728751,4.972259776,7.628118434,7.628118434,0.127025,0.351579,0.104073,
mol_13982,-1505.314615038857,79,15.01357,501.7241400000005,-149.807733606,-149.221012691,-37.730861152,-15.163127476000001,III_benzimid,Methyl,Bz,Methyl,DEP,DEP,1.803016771,1.541420611,1.803016771,10.28464853,10.28464853,0.061966,0.296458,0.062387,
mol_13983,-1426.739403155330,73,14.55883,473.67098000000044,-147.479047707,-144.98595445,-37.578376465,-15.727885576,III_benzimid,Methyl,Bz,Methyl,TMP,TMP,1.803016771,1.541420611,1.803016771,7.628118434,7.628118434,0.061599,0.29596,0.062738,
mol_13984,-1348.141600117664,67,13.50848,445.6178200000004,-154.32517089700002,-149.619480906,-38.040223089,-19.853129742,III_benzimid,Methyl,Bz,Methyl,EP,EP,1.803016771,1.541420611,1.803016771,3.874770761,3.874770761,0.057147,0.292082,0.064825,
mol_13985,-1269.554324868377,61,9.13803,417.5646600000003,-156.282998977,-154.391686851,-33.780691997,-12.905977603,III_benzimid,Methyl,Bz,Methyl,Bz,Bz,1.803016771,1.541420611,1.803016771,1.541420611,1.541420611,0.075096,0.327413,0.075335,
mol_13986,-1426.739298256099,73,10.61321,473.67098000000044,-150.925327135,-150.016066594,-33.994045057,-12.065743052,III_benzimid,Methyl,Bz,Methyl,DMBz,DMBz,1.803016771,1.541420611,1.803016771,2.127721562,2.127721562,0.073099,0.320105,0.071932,
mol_13988,-1648.943833155923,71,10.43542,509.61542000000037,-139.266209915,-139.183378727,-35.550894886,-16.021559788,III_benzimid,Methyl,Bz,Methyl,DMOB,DMOB,1.803016771,1.541420611,1.803016771,6.042753333,6.042753333,0.068171,0.316909,0.071741,
mol_13989,-1877.937889948319,79,11.61015,569.6673799999984,-135.78102492899998,-130.809271122,-35.058300321000004,-12.224502828999999,III_benzimid,Methyl,Bz,Methyl,TMOB,TMOB,1.803016771,1.541420611,1.803016771,6.045928531,6.045928531,0.072797,0.324299,0.071985,
mol_1399,-1277.925101602769,75,7.49083,431.67582000000056,-157.106290785,-155.60403423900001,-23.010755030000002,-17.361291503,I_imid,t-Butyl,Propyl,t-Butyl,EP,EP,4.972259776,1.649728751,4.972259776,3.874770761,3.874770761,0.118865,0.355481,0.114743,
mol_13998,-1279.159300364752,77,8.49537,433.6917000000006,-155.683727882,-150.698168877,-33.342063206,-12.635521224000001,III_benzimid,Ethyl,Bz,Ethyl,DMB,DMB,1.711067804,1.541420611,1.711067804,1.753807476,1.753807476,0.076784,0.322729,0.071993,
mol_1400,-1199.333610178577,69,6.70534,403.6226600000005,-157.89381458,-153.397712595,-25.048904262,-10.734796463,I_imid,t-Butyl,Propyl,t-Butyl,Bz,Bz,4.972259776,1.649728751,4.972259776,1.541420611,1.541420611,0.145872,0.435455,0.145354,
mol_14000,-1348.151370734895,67,12.18163,445.61782000000034,-153.845126512,-152.269451413,-37.673130324,-16.168396894,III_benzimid,Ethyl,Bz,Ethyl,tolu,tolu,1.711067804,1.541420611,1.711067804,3.798133026,3.798133026,0.063067,0.296919,0.062475,
mol_14006,-1505.335681623366,79,10.11142,501.72414000000043,-150.781000065,-150.607180072,-33.535963487,-12.119708826000002,III_benzimid,Ethyl,Bz,Ethyl,DMBz,DMBz,1.711067804,1.541420611,1.711067804,2.127721562,2.127721562,0.076083,0.325125,0.07509,
mol_14007,-1583.931098971336,85,10.41360,529.7772999999995,-146.25979772000002,-144.180860403,-33.59683186,-11.536125456,III_benzimid,Ethyl,Bz,Ethyl,TMBz,TMBz,1.711067804,1.541420611,1.711067804,2.232277195,2.232277195,0.075403,0.323512,0.073319,
mol_14009,-1956.533234103270,85,12.04214,597.7205399999982,-134.718024683,-130.623528458,-34.536212833,-12.713959849000002,III_benzimid,Ethyl,Bz,Ethyl,TMOB,TMOB,1.711067804,1.541420611,1.711067804,6.045928531,6.045928531,0.071974,0.321665,0.073143,
mol_14013,-1122.001759150949,65,3.98832,377.58538000000055,-156.347632404,-153.072035424,-33.715431061,-11.399956003,III_benzimid,Propyl,Bz,Propyl,Propyl,Propyl,1.649728751,1.541420611,1.649728751,1.649728751,1.649728751,0.07466,0.325668,0.075082,
mol_14014,-1200.592524342248,71,6.23425,405.6385400000006,-155.66427510300002,-152.884410233,-34.521780126,-12.708939777000001,III_benzimid,Propyl,Bz,Propyl,Butyl,Butyl,1.649728751,1.541420611,1.649728751,1.602489835,1.602489835,0.069313,0.312768,0.071283,
mol_14016,-1200.581288925589,71,6.45683,405.63854000000055,-155.698160589,-153.38829996,-33.96706217,-12.146691713,III_benzimid,Propyl,Bz,Propyl,Sec-Butyl,Sec-Butyl,1.649728751,1.541420611,1.649728751,2.129855094,2.129855094,0.074017,0.330406,0.076587,
mol_14017,-1200.544969312206,71,5.70151,405.63854000000055,-156.16816483,-154.563624317,-33.845952933,-12.630501152,III_benzimid,Propyl,Bz,Propyl,t-Butyl,t-Butyl,1.649728751,1.541420611,1.649728751,4.972259776,4.972259776,0.078998,0.337224,0.078471,
mol_14018,-1357.755945888640,83,8.88095,461.74486000000064,-154.834708205,-151.70845836700002,-34.231243459000005,-12.82000887,III_benzimid,Propyl,Bz,Propyl,DMB,DMB,1.649728751,1.541420611,1.649728751,1.753807476,1.753807476,0.071762,0.320534,0.072022,
mol_14023,-1583.925416187772,85,12.89717,529.7772999999995,-147.53050344500002,-145.518082082,-37.351218207,-15.309337073,III_benzimid,Propyl,Bz,Propyl,TMP,TMP,1.649728751,1.541420611,1.649728751,7.628118434,7.628118434,0.06225,0.296437,0.063924,
mol_14024,-1505.320922561803,79,12.24701,501.72414000000043,-153.019952177,-148.292299371,-38.225965753,-20.407847698,III_benzimid,Propyl,Bz,Propyl,EP,EP,1.649728751,1.541420611,1.649728751,3.874770761,3.874770761,0.065514,0.299872,0.060837,
mol_14025,-1426.738671097842,73,9.39336,473.6709800000004,-154.807725318,-153.466111076,-34.900168053,-12.879622225000002,III_benzimid,Propyl,Bz,Propyl,Bz,Bz,1.649728751,1.541420611,1.649728751,1.541420611,1.541420611,0.070729,0.310556,0.068861,
mol_14026,-1583.925843968011,85,9.16522,529.7772999999995,-150.871361361,-150.540664118,-33.347710787000004,-11.842977357,III_benzimid,Propyl,Bz,Propyl,DMBz,DMBz,1.649728751,1.541420611,1.649728751,2.127721562,2.127721562,0.075802,0.327714,0.07591,
mol_14029,-2035.121183637237,91,10.96567,625.7736999999981,-134.168954308,-129.724308061,-34.157197397000004,-14.009765933999999,III_benzimid,Propyl,Bz,Propyl,TMOB,TMOB,1.649728751,1.541420611,1.649728751,6.045928531,6.045928531,0.073477,0.329076,0.077626,
mol_14030,-964.819965161833,53,3.03646,321.4790600000004,-162.30834039500002,-160.144061854,-36.149538472,-12.331806868,III_benzimid,Butyl,Bz,Butyl,Hydro,Hydro,1.602489835,1.541420611,1.602489835,0,0,0.068862,0.315022,0.069123,
mol_14033,-1200.588201714480,71,4.75391,405.63854000000055,-155.523085578,-152.646584322,-34.076876245,-12.698899633000002,III_benzimid,Butyl,Bz,Butyl,Propyl,Propyl,1.602489835,1.541420611,1.602489835,1.649728751,1.649728751,0.071654,0.314614,0.070795,
mol_14035,-1279.182151203067,77,5.43721,433.6917000000006,-155.50739785300001,-152.422563609,-34.141509672,-12.280978639,III_benzimid,Butyl,Bz,Butyl,Isobutyl,Isobutyl,1.602489835,1.541420611,1.602489835,3.276026296,3.276026296,0.073142,0.317515,0.070886,
mol_14036,-1279.173289860313,77,5.50540,433.6917000000006,-155.826799934,-153.665658938,-33.989652494,-11.708062922000002,III_benzimid,Butyl,Bz,Butyl,Sec-Butyl,Sec-Butyl,1.602489835,1.541420611,1.602489835,2.129855094,2.129855094,0.074112,0.326647,0.074738,
mol_14038,-1436.346956195765,89,8.55147,489.7980200000007,-154.32328837,-151.86721814400002,-34.182297757,-11.957183995,III_benzimid,Butyl,Bz,Butyl,DMB,DMB,1.602489835,1.541420611,1.602489835,1.753807476,1.753807476,0.074938,0.323783,0.072921,
mol_14039,-1426.736342372598,73,9.15308,473.6709800000004,-155.946654153,-147.018456101,-38.700362557,-24.633493304,III_benzimid,Butyl,Bz,Butyl,phen,phen,1.602489835,1.541420611,1.602489835,3.620874142,3.620874142,0.061772,0.294512,0.06204,
mol_1404,-1807.727088212283,87,5.26708,555.7253799999982,-139.83222303300002,-134.74940013300002,-14.450904761,-5.8791318210000005,I_imid,t-Butyl,Propyl,t-Butyl,TMOB,TMOB,4.972259776,1.649728751,4.972259776,6.045928531,6.045928531,0.154244,0.400667,0.118955,
mol_14040,-1505.329225791368,79,10.64965,501.72414000000043,-153.76731539600001,-152.150852212,-37.516253074,-15.943748672,III_benzimid,Butyl,Bz,Butyl,tolu,tolu,1.602489835,1.541420611,1.602489835,3.798133026,3.798133026,0.062512,0.297473,0.064176,
mol_14041,-1583.914351652652,85,11.56233,529.7772999999995,-150.622240288,-148.437881459,-37.695093139,-16.831673907,III_benzimid,Butyl,Bz,Butyl,DMP,DMP,1.602489835,1.541420611,1.602489835,8.431506296,8.431506296,0.060113,0.290253,0.060851,
mol_14042,-1741.085828034713,97,12.83661,585.8836199999977,-150.375629251,-148.47051192700002,-37.824359993,-15.567243272,III_benzimid,Butyl,Bz,Butyl,DEP,DEP,1.602489835,1.541420611,1.602489835,10.28464853,10.28464853,0.061273,0.296456,0.063781,
mol_14043,-1662.510605128574,91,12.40342,557.830459999998,-147.61960972300002,-144.310127257,-37.174888178,-16.492191538,III_benzimid,Butyl,Bz,Butyl,TMP,TMP,1.602489835,1.541420611,1.602489835,7.628118434,7.628118434,0.067189,0.304176,0.063324,
mol_14044,-1583.912412141994,85,10.63606,529.7772999999995,-154.495225836,-153.100900838,-38.134976948,-13.978390484,III_benzimid,Butyl,Bz,Butyl,EP,EP,1.602489835,1.541420611,1.602489835,3.874770761,3.874770761,0.062892,0.297245,0.064167,
mol_14046,-1662.511722325962,91,9.16379,557.830459999998,-150.96486020199998,-150.61094512600002,-33.256094473000005,-11.7971692,III_benzimid,Butyl,Bz,Butyl,DMBz,DMBz,1.602489835,1.541420611,1.602489835,2.127721562,2.127721562,0.077361,0.329437,0.075796,
mol_14056,-1279.168871623640,77,5.00113,433.69170000000065,-156.144946997,-154.016436469,-34.471579406,-12.284116184,III_benzimid,Isobutyl,Bz,Isobutyl,Sec-Butyl,Sec-Butyl,3.276026296,1.541420611,3.276026296,2.129855094,2.129855094,0.075577,0.333124,0.07857,
mol_14064,-1583.916648229615,85,11.51057,529.7772999999995,-153.784885648,-148.58785611,-38.003200058,-19.657346934,III_benzimid,Isobutyl,Bz,Isobutyl,EP,EP,3.276026296,1.541420611,3.276026296,3.874770761,3.874770761,0.068863,0.302658,0.061468,
mol_1407,-973.218617343778,67,2.62694,335.59022000000067,-182.922638554,-152.677332263,-17.769172353,7.447276812,I_imid,DMB,Propyl,DMB,Ethyl,Ethyl,1.753807476,1.649728751,1.753807476,1.711067804,1.711067804,0.139602,0.424672,0.138141,
mol_14070,-964.814272539208,53,3.13106,321.4790600000004,-162.123852749,-159.935101357,-35.383977492,-12.268428458999999,III_benzimid,Sec-Butyl,Bz,Sec-Butyl,Hydro,Hydro,2.129855094,1.541420611,2.129855094,0,0,0.069064,0.309428,0.068155,
mol_14075,-1279.168118938944,77,5.18630,433.6917000000006,-155.445901971,-152.866839981,-34.392513272,-12.086450849,III_benzimid,Sec-Butyl,Bz,Sec-Butyl,Isobutyl,Isobutyl,2.129855094,1.541420611,2.129855094,3.276026296,3.276026296,0.07822,0.336556,0.082127,
mol_14076,-1279.169783828372,77,5.48735,433.69170000000065,-155.180465664,-152.819776806,-33.298137576,-11.531105384,III_benzimid,Sec-Butyl,Bz,Sec-Butyl,Sec-Butyl,Sec-Butyl,2.129855094,1.541420611,2.129855094,2.129855094,2.129855094,0.074971,0.325557,0.077865,
mol_14078,-1436.338803260091,89,7.56233,489.7980200000007,-154.104915238,-152.043548173,-34.396905835000005,-12.267173441,III_benzimid,Sec-Butyl,Bz,Sec-Butyl,DMB,DMB,2.129855094,1.541420611,2.129855094,1.753807476,1.753807476,0.080387,0.337218,0.080236,
mol_14086,-1662.505868705038,91,8.59551,557.830459999998,-150.948544968,-150.706326494,-33.398539016,-11.647194549000002,III_benzimid,Sec-Butyl,Bz,Sec-Butyl,DMBz,DMBz,2.129855094,1.541420611,2.129855094,2.127721562,2.127721562,0.078745,0.332142,0.079111,
mol_14089,-2113.706935395770,97,9.10164,653.8268599999981,-135.855070991,-130.230080315,-33.907448815,-12.465466285000002,III_benzimid,Sec-Butyl,Bz,Sec-Butyl,TMOB,TMOB,2.129855094,1.541420611,2.129855094,6.045928531,6.045928531,0.074582,0.324153,0.074958,
mol_14090,-964.782490267530,53,2.97466,321.4790600000004,-162.490945514,-159.03776348699998,-35.952500646,-12.83255905,III_benzimid,t-Butyl,Bz,t-Butyl,Hydro,Hydro,4.972259776,1.541420611,4.972259776,0,0,0.07073,0.315754,0.071183,
mol_14095,-1279.146014887832,77,5.77826,433.69170000000065,-154.617590091,-153.432853099,-34.011615309,-12.550807509000002,III_benzimid,t-Butyl,Bz,t-Butyl,Isobutyl,Isobutyl,4.972259776,1.541420611,4.972259776,3.276026296,3.276026296,0.075154,0.319332,0.073134,
mol_14097,-1279.100103583732,77,5.03414,433.69170000000065,-155.1829757,-153.62863590700002,-33.779436978999996,-12.515039496,III_benzimid,t-Butyl,Bz,t-Butyl,t-Butyl,t-Butyl,4.972259776,1.541420611,4.972259776,4.972259776,4.972259776,0.084165,0.341677,0.080335,
mol_14105,-1505.293573346881,79,7.30857,501.72414000000043,-155.66490261200002,-154.849768421,-33.018268562,-13.313858453,III_benzimid,t-Butyl,Bz,t-Butyl,Bz,Bz,4.972259776,1.541420611,4.972259776,1.541420611,1.541420611,0.077372,0.325052,0.077144,
mol_1411,-1130.378132734744,79,2.58699,391.69654000000077,-181.884738668,-152.465234221,-13.781352658,5.16439907,I_imid,DMB,Propyl,DMB,Sec-Butyl,Sec-Butyl,1.753807476,1.649728751,1.753807476,2.129855094,2.129855094,0.14495,0.434612,0.142349,
mol_14112,-1279.167420254690,77,1.88802,433.6917000000006,-155.187368263,-153.856421674,-35.207019954,-11.988559445,III_benzimid,DMB,Bz,DMB,Ethyl,Ethyl,1.753807476,1.541420611,1.753807476,1.711067804,1.711067804,0.077203,0.332292,0.077321,
mol_14113,-1357.753807958950,83,2.98608,461.7448600000007,-155.48669005600001,-153.546432228,-35.810683612,-12.189989834,III_benzimid,DMB,Bz,DMB,Propyl,Propyl,1.753807476,1.541420611,1.753807476,1.649728751,1.649728751,0.079689,0.335835,0.077457,
mol_14114,-1436.348359199010,89,5.04086,489.79802000000075,-155.2457266,-152.607678764,-34.530565252,-11.790894110000002,III_benzimid,DMB,Bz,DMB,Butyl,Butyl,1.753807476,1.541420611,1.753807476,1.602489835,1.602489835,0.078721,0.334586,0.078497,
mol_14117,-1436.303309860677,89,4.09377,489.7980200000007,-155.735811129,-154.369096527,-34.380590601,-11.697395269000001,III_benzimid,DMB,Bz,DMB,t-Butyl,t-Butyl,1.753807476,1.541420611,1.753807476,4.972259776,4.972259776,0.085181,0.35505,0.086202,
mol_14121,-1741.083065713283,97,10.39258,585.8836199999977,-150.898344248,-148.61672152399998,-38.431788705,-15.94500369,III_benzimid,DMB,Bz,DMB,DMP,DMP,1.753807476,1.541420611,1.753807476,8.431506296,8.431506296,0.068517,0.309411,0.066544,
mol_14122,-1898.252705394490,109,11.48037,641.9899399999975,-149.62512848699998,-148.887177903,-37.593436681,-14.278339786,III_benzimid,DMB,Bz,DMB,DEP,DEP,1.753807476,1.541420611,1.753807476,10.28464853,10.28464853,0.066956,0.309987,0.067527,
mol_14124,-1741.070166243170,97,9.85982,585.8836199999977,-153.036267411,-149.630776068,-39.209272356,-18.982774759,III_benzimid,DMB,Bz,DMB,EP,EP,1.753807476,1.541420611,1.753807476,3.874770761,3.874770761,0.069024,0.325049,0.070945,
mol_14127,-1898.260810187253,109,10.60006,641.9899399999975,-146.357061615,-143.168688386,-35.2032549,-13.851633666,III_benzimid,DMB,Bz,DMB,TMBz,TMBz,1.753807476,1.541420611,1.753807476,2.232277195,2.232277195,0.076622,0.346067,0.080892,
mol_14128,-2041.874264480452,101,6.84531,649.8812199999978,-139.20659656,-138.674468928,-36.571852029,-15.791263985,III_benzimid,DMB,Bz,DMB,DMOB,DMOB,1.753807476,1.541420611,1.753807476,6.042753333,6.042753333,0.075865,0.338845,0.077468,
mol_1413,-1287.543106910008,91,4.39865,447.80286000000086,-180.64478088400003,-150.07505244,-17.673790985,0.165034867,I_imid,DMB,Propyl,DMB,DMB,DMB,1.753807476,1.649728751,1.753807476,1.753807476,1.753807476,0.153606,0.44504,0.139335,
mol_14134,-1426.726937114215,73,5.15846,473.67098000000044,-157.92205248500002,-154.43121991799998,-38.486381988,-23.593083382,III_benzimid,phen,Bz,phen,Butyl,Butyl,3.620874142,1.541420611,3.620874142,1.602489835,1.602489835,0.084548,0.353743,0.082234,
mol_1414,-1277.952105039890,75,3.64564,431.67582000000056,-163.698900339,-154.04090932,-24.752720014,-19.735785559,I_imid,DMB,Propyl,DMB,phen,phen,1.753807476,1.649728751,1.753807476,3.620874142,3.620874142,0.028553,0.190233,0.094136,
mol_14143,-1810.060125768765,87,11.08408,597.8097399999982,-148.225783417,-145.836229145,-40.436052451,-24.515521612,III_benzimid,phen,Bz,phen,TMP,TMP,3.620874142,1.541420611,3.620874142,7.628118434,7.628118434,0.074481,0.336229,0.073583,
mol_14144,-1731.460363530345,81,10.45884,569.7565799999983,-154.234182092,-152.319652133,-41.137607513000006,-25.310575515000004,III_benzimid,phen,Bz,phen,EP,EP,3.620874142,1.541420611,3.620874142,3.874770761,3.874770761,0.077047,0.335452,0.07035,
mol_14145,-1652.874331863661,75,8.07352,541.7034199999986,-155.861940438,-154.523463741,-39.528046928,-24.621570633,III_benzimid,phen,Bz,phen,Bz,Bz,3.620874142,1.541420611,3.620874142,1.541420611,1.541420611,0.080422,0.34609,0.080601,
mol_14151,-1269.557318270188,61,2.27917,417.5646600000003,-159.922551177,-155.24447158200002,-37.204381101,-21.312715676,III_benzimid,tolu,Bz,tolu,Methyl,Methyl,3.798133026,1.541420611,3.798133026,1.803016771,1.803016771,0.082244,0.350454,0.081905,
mol_14152,-1348.145112823420,67,2.35706,445.61782000000034,-159.477647296,-155.410133958,-37.258974384,-22.659977499,III_benzimid,tolu,Bz,tolu,Ethyl,Ethyl,3.798133026,1.541420611,3.798133026,1.711067804,1.711067804,0.082045,0.351349,0.082142,
mol_14154,-1505.321617529711,79,3.92282,501.7241400000005,-159.018938217,-154.176451264,-36.695471302,-22.274059464,III_benzimid,tolu,Bz,tolu,Butyl,Butyl,3.798133026,1.541420611,3.798133026,1.602489835,1.602489835,0.082663,0.354235,0.082494,
mol_14157,-1505.279083834288,79,3.70685,501.72414000000043,-158.34624856899998,-155.812994736,-37.317332721,-22.417131516,III_benzimid,tolu,Bz,tolu,t-Butyl,t-Butyl,3.798133026,1.541420611,3.798133026,4.972259776,4.972259776,0.084959,0.359355,0.083674,
mol_14158,-1662.489366465778,91,6.46597,557.830459999998,-157.252500382,-153.552079809,-37.106489697,-22.319240112000003,III_benzimid,tolu,Bz,tolu,DMB,DMB,3.798133026,1.541420611,3.798133026,1.753807476,1.753807476,0.083175,0.355078,0.082413,
mol_14167,-1967.254141245922,99,7.85223,653.9160599999981,-146.530254099,-144.712360526,-37.258346875,-22.312965022,III_benzimid,tolu,Bz,tolu,TMBz,TMBz,3.798133026,1.541420611,3.798133026,2.232277195,2.232277195,0.082982,0.351254,0.083725,
mol_1417,-1592.288979240795,99,5.64127,543.888459999999,-154.32956346,-152.23305589100002,-23.143786937999998,-15.918648312000002,I_imid,DMB,Propyl,DMB,DEP,DEP,1.753807476,1.649728751,1.753807476,10.28464853,10.28464853,0.095093,0.326684,0.108304,
mol_14170,-1269.554755937512,61,2.70361,417.5646600000003,-159.90874597899997,-158.761032018,-40.281057728,-21.703026274,III_benzimid,DMP,Bz,DMP,Hydro,Hydro,8.431506296,1.541420611,8.431506296,0,0,0.078837,0.346931,0.077102,
mol_14174,-1583.915667208788,85,3.48026,529.7772999999995,-157.97225320500002,-154.999743072,-38.749935768,-21.14077821,III_benzimid,DMP,Bz,DMP,Butyl,Butyl,8.431506296,1.541420611,8.431506296,1.602489835,1.602489835,0.079757,0.344502,0.077378,
mol_14175,-1583.910259889445,85,2.60471,529.7772999999995,-158.53826632300002,-154.066637189,-37.448482102,-21.289497843,III_benzimid,DMP,Bz,DMP,Isobutyl,Isobutyl,8.431506296,1.541420611,8.431506296,3.276026296,3.276026296,0.083864,0.349041,0.078878,
mol_14176,-1583.908705203721,85,3.62469,529.7772999999995,-158.308598029,-155.363070783,-38.299384306,-21.160230989000002,III_benzimid,DMP,Bz,DMP,Sec-Butyl,Sec-Butyl,8.431506296,1.541420611,8.431506296,2.129855094,2.129855094,0.08062,0.350738,0.082164,
mol_14177,-1583.872866525787,85,3.11896,529.7772999999995,-157.83733877,-155.97991213,-37.382593657,-21.415627152,III_benzimid,DMP,Bz,DMP,t-Butyl,t-Butyl,8.431506296,1.541420611,8.431506296,4.972259776,4.972259776,0.085842,0.36458,0.085052,
mol_14178,-1741.079597231103,97,4.80586,585.8836199999977,-157.962213061,-153.580317714,-37.093939517,-21.487163178000003,III_benzimid,DMP,Bz,DMP,DMB,DMB,8.431506296,1.541420611,8.431506296,1.753807476,1.753807476,0.079464,0.35057,0.084677,
mol_1418,-1513.725081821022,93,5.49070,515.8353000000005,-152.03288052,-150.325428531,-20.920522551,-13.452537942,I_imid,DMB,Propyl,DMB,TMP,TMP,1.753807476,1.649728751,1.753807476,7.628118434,7.628118434,0.125416,0.325934,0.079166,
mol_14181,-1888.652839474977,93,9.06795,625.8628999999981,-151.703438295,-148.85705747100002,-41.71052323,-21.98164027,III_benzimid,DMP,Bz,DMP,DMP,DMP,8.431506296,1.541420611,8.431506296,8.431506296,8.431506296,0.070431,0.328979,0.073049,
mol_14194,-1741.086996346614,97,2.75093,585.8836199999977,-157.022204579,-154.744974418,-38.036458035,-19.638521664,III_benzimid,DEP,Bz,DEP,Butyl,Butyl,10.28464853,1.541420611,10.28464853,1.602489835,1.602489835,0.081042,0.347355,0.080199,
mol_14195,-1741.086231078534,97,3.13351,585.8836199999977,-157.97037067800002,-154.202806642,-37.707643319,-19.839952053,III_benzimid,DEP,Bz,DEP,Isobutyl,Isobutyl,10.28464853,1.541420611,10.28464853,3.276026296,3.276026296,0.085078,0.350916,0.080356,
mol_14196,-1741.081082638148,97,3.11695,585.8836199999977,-156.70845007900002,-155.268944433,-38.129329367,-19.457799072,III_benzimid,DEP,Bz,DEP,Sec-Butyl,Sec-Butyl,10.28464853,1.541420611,10.28464853,2.129855094,2.129855094,0.082233,0.352548,0.082706,
mol_14197,-1741.044753921240,97,2.75139,585.8836199999977,-157.804708302,-155.685610409,-37.032443635,-20.699011874,III_benzimid,DEP,Bz,DEP,t-Butyl,t-Butyl,10.28464853,1.541420611,10.28464853,4.972259776,4.972259776,0.089272,0.370394,0.088174,
mol_14199,-1888.647780523258,93,5.96905,625.8628999999981,-158.243337093,-149.089235801,-41.716170811,-24.866299143000003,III_benzimid,DEP,Bz,DEP,phen,phen,10.28464853,1.541420611,10.28464853,3.620874142,3.620874142,0.071102,0.326776,0.069993,
mol_142,-698.153072850157,46,2.44017,237.40415999999968,-190.21680317000002,-157.53613445,-12.434718344,6.930209396,I_imid,t-Butyl,Hydro,t-Butyl,Ethyl,Ethyl,4.972259776,0,4.972259776,1.711067804,1.711067804,0.159359,0.485335,0.16145,
mol_1420,-1356.528162540479,81,6.79308,459.7289800000006,-157.160884068,-152.686744898,-16.512899335,-11.421291308999999,I_imid,DMB,Propyl,DMB,Bz,Bz,1.753807476,1.649728751,1.753807476,1.541420611,1.541420611,0.130356,0.408476,0.138454,
mol_14202,-2202.994182139557,117,9.83217,738.0755399999979,-149.205324966,-149.059115369,-41.254324187,-20.987038505,III_benzimid,DEP,Bz,DEP,DEP,DEP,10.28464853,1.541420611,10.28464853,10.28464853,10.28464853,0.073262,0.331024,0.072974,
mol_14204,-2045.824869969941,105,7.34760,681.969219999998,-153.44979584200001,-151.617469562,-40.968807592,-20.289248497,III_benzimid,DEP,Bz,DEP,EP,EP,10.28464853,1.541420611,10.28464853,3.874770761,3.874770761,0.071258,0.327499,0.069664,
mol_14205,-1967.235944837465,99,6.62506,653.9160599999981,-155.285259667,-153.909759939,-39.666098908,-20.820121111,III_benzimid,DEP,Bz,DEP,Bz,Bz,10.28464853,1.541420611,10.28464853,1.541420611,1.541420611,0.0783,0.340682,0.078021,
mol_14206,-2124.422452199542,111,5.60467,710.022379999998,-150.89708923,-150.567019496,-36.989145514,-19.219345652,III_benzimid,DEP,Bz,DEP,DMBz,DMBz,10.28464853,1.541420611,10.28464853,2.127721562,2.127721562,0.085244,0.359562,0.084908,
mol_1421,-1513.714039053542,93,8.48208,515.8353000000005,-150.065012296,-148.936123605,-16.149571624,-9.511781422,I_imid,DMB,Propyl,DMB,DMBz,DMBz,1.753807476,1.649728751,1.753807476,2.127721562,2.127721562,0.126405,0.399457,0.132401,
mol_14214,-1662.517209220271,91,3.50489,557.830459999998,-156.79755635700002,-154.491460782,-37.425264269,-19.064350929,III_benzimid,TMP,Bz,TMP,Butyl,Butyl,7.628118434,1.541420611,7.628118434,1.602489835,1.602489835,0.076858,0.343378,0.079589,
mol_14220,-1888.665780995303,93,7.70783,625.8628999999981,-153.265935705,-148.555853151,-40.615520025,-21.990425396,III_benzimid,TMP,Bz,TMP,tolu,tolu,7.628118434,1.541420611,7.628118434,3.798133026,3.798133026,0.067782,0.322145,0.069591,
mol_1423,-1735.935644711145,91,1.58241,551.7797399999984,-143.978802505,-141.726045195,-18.145050244,-16.298918766,I_imid,DMB,Propyl,DMB,DMOB,DMOB,1.753807476,1.649728751,1.753807476,6.042753333,6.042753333,0.074735,0.118449,0.014998,
mol_14243,-1967.242949938327,99,9.86301,653.9160599999981,-147.73946394200001,-145.498629303,-40.017503948,-21.78083739,III_benzimid,EP,Bz,EP,TMP,TMP,3.874770761,1.541420611,3.874770761,7.628118434,7.628118434,0.073327,0.333256,0.072573,
mol_14245,-1810.056043121123,87,9.20733,597.8097399999982,-156.288646558,-152.354165128,-39.232490188999996,-21.947754784,III_benzimid,EP,Bz,EP,Bz,Bz,3.874770761,1.541420611,3.874770761,1.541420611,1.541420611,0.076525,0.339087,0.076639,
mol_14251,-807.659127225723,41,4.58129,265.37273999999996,-154.726776657,-154.618845109,-31.277558596,-12.126611425,III_benzimid,Hydro,DMBz,Hydro,Methyl,Methyl,0,2.127721562,0,1.803016771,1.803016771,0.077023,0.339358,0.075677,
mol_14253,-964.834562688403,53,5.33983,321.4790600000004,-154.301325555,-153.71146709500002,-33.354613386000004,-11.367953044,III_benzimid,Hydro,DMBz,Hydro,Propyl,Propyl,0,2.127721562,0,1.649728751,1.649728751,0.073038,0.326077,0.070506,
