Molecule,SinglePointEnergy[a.u.],nAtoms,DipoleMoment[Debye],MolecularWeight[g/mol],HOMO-1[kcal/mol],HOMO[kcal/mol],LUMO[kcal/mol],LUMO+1[kcal/mol],CoreStructure,N-1_subst,C-2_subst,N-3_subst,C-4_subst,C-5_subst,N-1_Avalue[kcal/mol],C-2_Avalue[kcal/mol],N-3_Avalue[kcal/mol],C-4_Avalue[kcal/mol],C-5_Avalue[kcal/mol],LUMO_N-1[%],LUMO_C-2[%],LUMO_N-3[%]
mol_10052,-2089.917513245493,116,12.09931,704.0593199999977,-150.538154082,-149.151359192,-39.376817259,-20.246577885,III_benzimid,DEP,Isobutyl,DEP,DEP,DEP,10.28464853,3.276026296,10.28464853,10.28464853,10.28464853,0.07098,0.337043,0.070537,
mol_10055,-1854.164214678894,98,7.54846,619.8998399999979,-154.253007362,-153.761040306,-38.695969994,-18.78134437,III_benzimid,DEP,Isobutyl,DEP,Bz,Bz,10.28464853,3.276026296,10.28464853,1.541420611,1.541420611,0.071167,0.3369,0.070966,
mol_10056,-2011.348291791987,110,6.86430,676.0061599999977,-150.880146487,-150.629770396,-35.502576693,-19.073136055,III_benzimid,DEP,Isobutyl,DEP,DMBz,DMBz,10.28464853,3.276026296,10.28464853,2.127721562,2.127721562,0.080288,0.357055,0.080384,
mol_10057,-2089.947208987170,116,7.42120,704.0593199999977,-146.679601241,-144.812134457,-35.400920235,-18.541635932000002,III_benzimid,DEP,Isobutyl,DEP,TMBz,TMBz,10.28464853,3.276026296,10.28464853,2.232277195,2.232277195,0.081817,0.360707,0.083164,
mol_10059,-2462.550352304691,116,7.11462,772.002559999998,-136.153765275,-131.803245378,-37.072604211,-18.438096947000002,III_benzimid,DEP,Isobutyl,DEP,TMOB,TMOB,10.28464853,3.276026296,10.28464853,6.045928531,6.045928531,0.079209,0.354248,0.077351,
mol_1006,-1474.417563165606,90,9.04851,501.8087200000007,-149.975906018,-149.15324171900002,-16.915760113,-8.445643631000001,I_imid,DMB,Ethyl,DMB,DMBz,DMBz,1.753807476,1.711067804,1.753807476,2.127721562,2.127721562,0.121126,0.392873,0.133323,
mol_10066,-1549.434831974334,90,4.36340,523.81424,-156.53588510400002,-154.609432474,-36.310808285,-17.80243033,III_benzimid,TMP,Isobutyl,TMP,Sec-Butyl,Sec-Butyl,7.628118434,3.276026296,7.628118434,2.129855094,2.129855094,0.078213,0.349786,0.075661,
mol_10067,-1549.399717203851,90,4.21557,523.8142399999999,-156.862817293,-154.807097809,-35.647531272,-17.555191784,III_benzimid,TMP,Isobutyl,TMP,t-Butyl,t-Butyl,7.628118434,3.276026296,7.628118434,4.972259776,4.972259776,0.082482,0.364821,0.08438,
mol_10069,-1697.001840247895,86,7.65126,563.793519999998,-157.08809302400002,-148.440391495,-40.05389947,-24.405080028000004,III_benzimid,TMP,Isobutyl,TMP,phen,phen,7.628118434,3.276026296,7.628118434,3.620874142,3.620874142,0.066553,0.322948,0.065466,
mol_10070,-1775.592590471176,92,8.87602,591.846679999998,-153.335589204,-149.552337443,-39.378072277,-21.634000284,III_benzimid,TMP,Isobutyl,TMP,tolu,tolu,7.628118434,3.276026296,7.628118434,3.798133026,3.798133026,0.069671,0.323165,0.062634,
